date,baseline_predicted_reported_min,baseline_predicted_reported_and_unreported_min,baseline_normal_bed_occupancy_min,baseline_icu_bed_occupancy_min,baseline_icu_ventilator_occupancy_min,baseline_normal_bed_requirement_min,baseline_icu_bed_requirement_min,baseline_icu_ventilator_requirement_min,baseline_death_natural_non_exposed_min,baseline_death_natural_exposed_min,baseline_death_treated_hospital_min,baseline_death_treated_icu_min,baseline_death_treated_ventilator_min,baseline_death_untreated_hospital_min,baseline_death_untreated_icu_min,baseline_death_untreated_ventilator_min,baseline_death_cum_mortality_min,baseline_death_deaths_from_covid_min,baseline_death_deaths_with_covid_min,baseline_predicted_reported_med,baseline_predicted_reported_and_unreported_med,baseline_normal_bed_occupancy_med,baseline_icu_bed_occupancy_med,baseline_icu_ventilator_occupancy_med,baseline_normal_bed_requirement_med,baseline_icu_bed_requirement_med,baseline_icu_ventilator_requirement_med,baseline_death_natural_non_exposed_med,baseline_death_natural_exposed_med,baseline_death_treated_hospital_med,baseline_death_treated_icu_med,baseline_death_treated_ventilator_med,baseline_death_untreated_hospital_med,baseline_death_untreated_icu_med,baseline_death_untreated_ventilator_med,baseline_death_cum_mortality_med,baseline_death_deaths_from_covid_med,baseline_death_deaths_with_covid_med,baseline_predicted_reported_max,baseline_predicted_reported_and_unreported_max,baseline_normal_bed_occupancy_max,baseline_icu_bed_occupancy_max,baseline_icu_ventilator_occupancy_max,baseline_normal_bed_requirement_max,baseline_icu_bed_requirement_max,baseline_icu_ventilator_requirement_max,baseline_death_natural_non_exposed_max,baseline_death_natural_exposed_max,baseline_death_treated_hospital_max,baseline_death_treated_icu_max,baseline_death_treated_ventilator_max,baseline_death_untreated_hospital_max,baseline_death_untreated_icu_max,baseline_death_untreated_ventilator_max,baseline_death_cum_mortality_max,baseline_death_deaths_from_covid_max,baseline_death_deaths_with_covid_max,hypothetical_predicted_reported_min,hypothetical_predicted_reported_and_unreported_min,hypothetical_normal_bed_occupancy_min,hypothetical_icu_bed_occupancy_min,hypothetical_icu_ventilator_occupancy_min,hypothetical_normal_bed_requirement_min,hypothetical_icu_bed_requirement_min,hypothetical_icu_ventilator_requirement_min,hypothetical_death_natural_non_exposed_min,hypothetical_death_natural_exposed_min,hypothetical_death_treated_hospital_min,hypothetical_death_treated_icu_min,hypothetical_death_treated_ventilator_min,hypothetical_death_untreated_hospital_min,hypothetical_death_untreated_icu_min,hypothetical_death_untreated_ventilator_min,hypothetical_death_cum_mortality_min,hypothetical_death_deaths_from_covid_min,hypothetical_death_deaths_with_covid_min,hypothetical_predicted_reported_med,hypothetical_predicted_reported_and_unreported_med,hypothetical_normal_bed_occupancy_med,hypothetical_icu_bed_occupancy_med,hypothetical_icu_ventilator_occupancy_med,hypothetical_normal_bed_requirement_med,hypothetical_icu_bed_requirement_med,hypothetical_icu_ventilator_requirement_med,hypothetical_death_natural_non_exposed_med,hypothetical_death_natural_exposed_med,hypothetical_death_treated_hospital_med,hypothetical_death_treated_icu_med,hypothetical_death_treated_ventilator_med,hypothetical_death_untreated_hospital_med,hypothetical_death_untreated_icu_med,hypothetical_death_untreated_ventilator_med,hypothetical_death_cum_mortality_med,hypothetical_death_deaths_from_covid_med,hypothetical_death_deaths_with_covid_med,hypothetical_predicted_reported_max,hypothetical_predicted_reported_and_unreported_max,hypothetical_normal_bed_occupancy_max,hypothetical_icu_bed_occupancy_max,hypothetical_icu_ventilator_occupancy_max,hypothetical_normal_bed_requirement_max,hypothetical_icu_bed_requirement_max,hypothetical_icu_ventilator_requirement_max,hypothetical_death_natural_non_exposed_max,hypothetical_death_natural_exposed_max,hypothetical_death_treated_hospital_max,hypothetical_death_treated_icu_max,hypothetical_death_treated_ventilator_max,hypothetical_death_untreated_hospital_max,hypothetical_death_untreated_icu_max,hypothetical_death_untreated_ventilator_max,hypothetical_death_cum_mortality_max,hypothetical_death_deaths_from_covid_max,hypothetical_death_deaths_with_covid_max,input_cases,input_deaths,seroprevalence,input_cumulative_death,interventions_baseline_si_vector,interventions_baseline_sd_vector,interventions_baseline_scr_vector,interventions_baseline_hw_vector,interventions_baseline_msk_vector,interventions_baseline_wah_vector,interventions_baseline_sc_vector,interventions_baseline_scp_vector,interventions_baseline_tb_vector,interventions_baseline_mt_vector,interventions_baseline_cte_vector,interventions_baseline_q_vector,interventions_hypothetical_si_vector,interventions_hypothetical_sd_vector,interventions_hypothetical_scr_vector,interventions_hypothetical_hw_vector,interventions_hypothetical_msk_vector,interventions_hypothetical_wah_vector,interventions_hypothetical_sc_vector,interventions_hypothetical_scp_vector,interventions_hypothetical_tb_vector,interventions_hypothetical_mt_vector,interventions_hypothetical_cte_vector,interventions_hypothetical_q_vector
6/25/20,7619,50851,5343,1409,2712,5943,1489,3008,1010950,15541,26005,7653,20163,914,0,0,55641,58757,2380,18071,120382,13676,3396,6333,15162,3595,7054,1042200,31559,55378,16290,42691,1952,1,6,115589,124883,5108,28408,187996,20297,5294,10098,22607,5602,11218,1061409,57756,98163,29366,76277,3504,11,60,210327,222775,9188,9085,60575,6100,1541,2976,6801,1634,3307,1003893,15673,26214,7694,20285,930,0,0,55192,59208,2413,18972,125756,14488,3643,6786,16059,3852,7553,1036607,36433,63872,18544,48731,2215,2,9,130847,143100,5724,29030,192394,21813,5658,10641,24166,5972,11812,1061318,63761,109565,32181,84372,3840,16,93,231589,246940,9970,41173,2466,NA,124400,0,25,0,50,100,100,90,0,0,0,75,0,0,25,0,50,100,100,90,0,0,0,75,0
6/26/20,8811,59344,5294,1390,2660,5888,1469,2950,1018110,15816,26098,7686,20257,918,0,0,55915,58998,2389,20690,139010,13508,3342,6211,14978,3538,6919,1049842,32128,55620,16370,42913,1961,1,6,116135,125479,5128,32108,214472,20121,5196,9909,22412,5501,11006,1069373,58778,98522,29491,76632,3518,11,60,211168,223695,9220,10394,69930,6066,1520,2932,6762,1613,3257,1010940,15947,26321,7730,20389,934,0,0,55444,59479,2423,21506,143880,14304,3595,6658,15858,3802,7412,1044174,37076,64129,18631,48970,2224,2,9,131424,143737,5745,32825,219493,21473,5543,10399,23798,5853,11542,1069285,64888,109953,32316,84748,3854,16,93,232486,247922,10003,45528,633,NA,125033,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
6/27/20,9932,67278,5319,1381,2625,5916,1460,2912,1025267,16093,26190,7718,20350,921,0,0,56185,59235,2397,23197,156748,13490,3312,6146,14961,3508,6846,1057481,32700,55857,16450,43131,1969,1,6,116677,126064,5148,35504,238619,20218,5128,9802,22518,5435,10883,1077336,59803,98878,29614,76983,3532,11,60,211972,224603,9251,11642,78792,6107,1512,2905,6808,1605,3228,1017985,16222,26427,7766,20491,938,0,0,55691,59746,2432,23851,160480,14300,3556,6561,15854,3764,7306,1051739,37721,64382,18716,49204,2234,2,9,131991,144364,5767,36314,244195,21382,5465,10209,23707,5775,11330,1077251,66019,110333,32448,85116,3868,16,93,233362,248882,10036,42299,511,NA,125544,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
6/28/20,11055,75182,5409,1381,2607,6016,1462,2892,1032421,16371,26282,7751,20441,925,0,0,56453,59470,2406,25715,174463,13607,3300,6122,15094,3498,6818,1065116,33274,56092,16528,43346,1978,1,6,117210,126642,5169,38810,261947,20437,5093,9754,22757,5402,10821,1085297,60831,99232,29735,77330,3545,11,60,212738,225502,9284,12903,87680,6218,1515,2897,6930,1610,3219,1025026,16498,26532,7801,20592,942,0,0,55936,60011,2442,26258,178136,14435,3548,6506,16008,3757,7247,1059301,38369,64634,18800,49433,2243,2,9,132550,144982,5789,39688,267983,21499,5424,10067,23854,5738,11172,1085216,67152,110708,32578,85475,3882,16,93,234218,249826,10070,39508,271,NA,125815,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
6/29/20,12229,83402,5561,1388,2606,6185,1472,2891,1039570,16650,26374,7783,20531,928,0,0,56721,59704,2415,28344,192854,13871,3309,6126,15387,3511,6822,1072748,33851,56327,16605,43559,1987,1,6,117750,127216,5191,42160,285451,20873,5112,9722,23224,5425,10779,1093257,61862,99586,29855,77672,3559,11,60,213481,226394,9318,13853,92851,6394,1528,2907,7126,1626,3230,1032063,16775,26639,7836,20692,947,0,0,56180,60276,2453,28916,196426,14702,3563,6505,16308,3777,7245,1066859,39018,64886,18883,49659,2252,2,9,133106,145596,5811,43112,291990,21825,5423,9979,24233,5744,11077,1093180,68290,111080,32706,85827,3896,16,93,235059,250757,10105,39496,347,NA,126162,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
6/30/20,13501,92209,5773,1407,2623,6421,1494,2910,1046715,16930,26457,7811,20588,932,0,0,56990,59892,2424,30916,209851,14319,3340,6158,15881,3548,6857,1080376,34430,56536,16674,43695,1996,1,6,118296,127679,5214,45650,309814,21378,5157,9681,23787,5478,10739,1101216,62896,99901,29963,77886,3572,11,60,214217,227106,9352,14559,97877,6635,1554,2935,7394,1655,3261,1039097,17053,26734,7868,20755,951,0,0,56423,60489,2464,31628,214850,15079,3594,6548,16731,3814,7288,1074415,39671,65110,18958,49802,2262,2,9,133660,146090,5835,46682,316893,22328,5463,9949,24809,5793,11046,1101142,69430,111410,32820,86049,3910,16,93,235889,251501,10141,48389,1300,NA,127462,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
7/1/20,14892,101876,6046,1468,2626,6725,1562,2913,1053854,17212,26541,7841,20644,936,0,0,57206,60083,2435,33620,229461,14897,3467,6158,16521,3691,6854,1088000,35013,56750,16744,43828,2004,1,6,118736,128146,5238,49346,335495,22110,5340,9615,24603,5685,10674,1109173,63934,100219,30074,78097,3585,11,60,214802,227821,9389,15418,105449,6940,1627,2946,7733,1737,3273,1046127,17333,26832,7900,20818,955,0,0,56618,60705,2475,34465,235188,15584,3725,6561,17296,3961,7299,1081967,40326,65336,19034,49944,2271,2,9,134102,146587,5859,50651,343786,23012,5654,9902,25586,6010,10994,1109103,70574,111742,32936,86267,3924,16,93,236539,252246,10179,49975,642,NA,128104,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
7/2/20,16417,112448,6382,1541,2647,7098,1643,2937,1060987,17495,26628,7871,20700,939,0,0,57426,60277,2446,36691,250750,15615,3618,6202,17314,3860,6899,1095619,35598,56968,16816,43961,2013,1,6,119187,128619,5263,53291,363639,23024,5538,9650,25622,5907,10715,1117128,64975,100542,30186,78306,3599,11,60,215394,228543,9427,16916,115908,7305,1713,2977,8136,1831,3307,1053153,17613,26932,7934,20881,959,0,0,56815,60925,2487,37565,256290,16234,3879,6606,18020,4133,7348,1089514,40983,65566,19112,50086,2280,2,9,134548,147089,5886,54537,371427,23907,5888,9923,26595,6270,11017,1117063,71722,112080,33054,86482,3938,16,93,237187,252997,10219,55559,723,NA,128827,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
7/3/20,18095,124057,6782,1627,2687,7544,1738,2982,1068113,17780,26719,7902,20756,943,0,0,57651,60475,2457,40096,274256,16472,3796,6293,18261,4056,6997,1103233,36187,57192,16890,44094,2022,1,6,119650,129102,5290,58175,397967,24139,5765,9744,26862,6161,10821,1125080,66019,100875,30301,78515,3613,11,60,215990,229277,9468,18570,127351,7691,1811,3029,8564,1938,3365,1060175,17895,27035,7968,20944,963,0,0,57016,61150,2500,40866,279100,17023,4049,6680,18900,4322,7430,1097058,41644,65801,19191,50227,2290,2,9,135002,147599,5913,58982,403363,25053,6147,9998,27872,6557,11102,1125020,72874,112427,33176,86695,3952,16,93,237837,253759,10261,57154,591,NA,129418,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
7/4/20,19943,136829,7251,1725,2748,8067,1847,3049,1075233,18066,26813,7934,20812,947,0,0,57883,60680,2470,43819,299952,17473,3993,6421,19374,4275,7139,1110841,36779,57425,16967,44228,2032,1,6,120128,129598,5319,63343,432564,25473,6016,9867,28341,6441,10965,1133031,67068,101218,30418,78723,3627,11,60,216598,230026,9511,20385,139898,8117,1924,3103,9033,2060,3447,1067193,18179,27143,8004,21007,968,0,0,57222,61382,2513,44492,304613,17959,4249,6795,19939,4542,7557,1104596,42307,66043,19273,50368,2300,2,9,135469,148119,5943,64646,442436,26413,6437,10129,29376,6876,11249,1132975,74029,112786,33301,86908,3967,16,93,238493,254538,10306,50006,261,NA,129679,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
7/5/20,21980,150892,7792,1839,2829,8669,1971,3140,1082345,18354,26913,7968,20869,951,0,0,58125,60893,2483,47880,327946,18615,4224,6591,20642,4530,7328,1118444,37376,57669,17046,44363,2042,1,6,120629,130110,5350,69106,473466,26991,6327,10030,30026,6784,11157,1140978,68120,101575,30539,78932,3642,11,60,217225,230795,9557,22378,153660,8608,2051,3200,9576,2197,3555,1074207,18464,27255,8042,21071,973,0,0,57437,61622,2528,48623,333098,19011,4483,6966,21109,4799,7744,1112129,42975,66294,19358,50511,2310,2,9,135955,148654,5974,70735,483625,27960,6756,10330,31086,7226,11472,1140927,75188,113160,33430,87120,3982,16,93,239159,255337,10353,44767,262,NA,129941,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
7/6/20,24225,166381,8409,1968,2933,9357,2113,3256,1089450,18644,27019,8003,20927,955,0,0,58378,61115,2498,52307,358436,19929,4484,6792,22100,4815,7554,1126040,37976,57926,17129,44500,2052,1,6,121202,130642,5383,75717,518991,28738,6674,10263,31963,7165,11413,1148923,69176,101947,30664,79142,3658,11,60,217867,231587,9606,24566,168756,9221,2185,3320,10256,2343,3689,1081216,18750,27374,8081,21136,978,0,0,57661,61873,2543,53172,364780,20261,4743,7189,22496,5083,7989,1119657,43645,66556,19447,50656,2321,2,9,136459,149209,6008,76850,525677,29631,7114,10604,32942,7617,11776,1148877,76351,113548,33563,87335,3998,16,93,239836,256159,10404,47316,391,NA,130332,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
7/7/20,26699,183437,9110,2115,3060,10138,2273,3397,1096548,18935,27132,8041,20986,960,0,0,58644,61350,2514,57002,389357,21424,4787,7037,23760,5147,7827,1133629,38582,58198,17215,44639,2063,1,6,121800,131199,5419,82923,568567,30688,7070,10570,34130,7599,11748,1156865,70237,102338,30794,79354,3674,11,60,218530,232408,9659,26967,185310,9955,2318,3467,11068,2489,3853,1088219,19038,27501,8123,21203,983,0,0,57896,62136,2560,58062,397926,21783,5024,7442,24180,5393,8269,1127178,44320,66834,19539,50804,2332,2,9,136986,149788,6045,83454,571057,31512,7522,10942,35036,8064,12155,1156822,77518,113953,33702,87552,4015,16,93,240482,257010,10458,54084,958,NA,131290,0,25,0,50,100,0,90,0,0,0,75,0,0,25,0,50,100,0,90,0,0,0,75,0
7/8/20,31340,215390,9978,2293,3226,11104,2468,3582,1103635,19230,27254,8081,21048,965,0,0,58927,61600,2532,65956,452228,23249,5145,7370,25784,5538,8198,1141209,39192,58489,17307,44783,2074,1,6,122429,131787,5460,96104,658948,33102,7546,11003,36813,8121,12226,1164802,71305,102754,30930,79572,3691,11,60,219218,233268,9719,31662,217560,10809,2474,3657,12014,2661,4062,1095216,19329,27637,8167,21273,988,0,0,58144,62415,2578,67414,462918,23656,5378,7761,26249,5780,8625,1134690,44999,67131,19636,50957,2344,2,9,137540,150399,6086,96078,657644,33922,8001,11421,37716,8589,12685,1164764,78690,114382,33847,87776,4032,16,93,241109,257902,10519,59455,948,NA,132238,0,25,0,50,0,0,90,0,0,0,75,0,0,25,0,50,0,0,90,0,0,0,75,0
7/9/20,36349,249866,11089,2516,3446,12341,2712,3827,1110711,19526,27388,8124,21112,970,0,0,59231,61870,2553,75837,520448,25582,5587,7805,28370,6022,8680,1148779,39807,58806,17405,44933,2086,1,6,123115,132417,5505,109993,754269,36321,8146,11524,40377,8778,12811,1172735,72379,103206,31074,79794,3709,11,60,219898,234183,9785,36746,252549,11922,2692,3899,13244,2897,4327,1102205,19621,27785,8214,21346,994,0,0,58410,62715,2599,77695,533620,26008,5841,8195,28856,6286,9108,1142191,45682,67455,19739,51115,2356,2,9,138132,151052,6132,109357,748678,37049,8593,12039,41190,9239,13370,1172699,79867,114845,34001,88009,4050,16,93,241764,258852,10586,59889,841,NA,133079,0,25,0,50,0,0,90,0,0,0,75,0,0,25,0,50,0,0,90,0,0,0,75,0
7/10/20,41889,287996,12443,2787,3722,13847,3008,4135,1117775,19825,27537,8171,21181,976,0,0,59562,62166,2576,86740,595351,28276,6133,8329,31363,6617,9264,1156338,40428,59153,17511,45090,2099,1,6,123854,133097,5556,124926,856504,40148,8880,12290,44622,9581,13659,1180661,73460,103701,31229,80026,3728,11,60,220615,235169,9859,42381,291324,13114,2970,4156,14558,3195,4609,1109186,19917,27944,8266,21424,1000,0,0,58699,63036,2623,88836,609451,28722,6384,8759,31875,6878,9730,1149680,46371,67806,19851,51281,2370,2,9,138771,151754,6183,123635,846531,40812,9318,12775,45364,10030,14188,1180629,81048,115351,34165,88254,4070,16,93,242454,259873,10660,68227,828,NA,133907,0,25,0,50,0,0,90,0,0,0,75,0,0,25,0,50,0,0,90,0,0,0,75,0
7/11/20,44321,303703,13940,3092,4041,15513,3340,4490,1124826,20128,27704,8223,21255,983,0,0,59926,62492,2602,91288,624400,31302,6744,8983,34725,7283,9991,1163887,41055,59535,17626,45258,2114,1,6,124654,133840,5612,130694,893232,44376,9726,13194,49311,10503,14659,1188582,74550,104247,31397,80273,3749,11,60,221450,236241,9940,44712,306345,14534,3264,4420,16129,3516,4906,1116158,20215,28118,8323,21506,1007,0,0,59016,63386,2649,93141,636078,31697,6998,9384,35191,7548,10422,1157157,47065,68191,19971,51457,2385,2,9,139467,152514,6240,128434,876311,44911,10155,13655,49908,10941,15161,1188551,82234,115905,34343,88513,4092,16,93,243187,260978,10742,60721,675,NA,134582,0,25,0,50,0,90,90,0,0,0,75,0,0,25,0,50,0,90,90,0,0,0,75,0
7/12/20,48874,334298,15540,3422,4395,17296,3700,4884,1131863,20434,27891,8281,21334,990,0,0,60330,62855,2632,99763,681036,34595,7407,9725,38383,8005,10815,1171421,41690,59961,17754,45439,2130,1,6,125562,134658,5674,141372,964234,48896,10667,14183,54340,11526,15758,1196497,75648,104853,31581,80537,3772,11,60,222413,237417,10030,49134,336053,16183,3597,4766,17960,3877,5294,1123120,20518,28313,8385,21596,1015,0,0,59372,63773,2678,101193,690399,35045,7649,10109,38908,8258,11226,1164620,47767,68619,20103,51645,2401,2,9,140230,153348,6303,138304,941682,49229,11070,14656,54731,11938,16266,1196466,83427,116516,34535,88789,4116,16,93,243954,262183,10833,57805,395,NA,134977,0,0,0,50,0,90,90,0,0,0,75,0,0,0,0,50,0,90,90,0,0,0,75,0
7/13/20,53761,367273,17317,3790,4795,19276,4101,5330,1138885,20744,28102,8345,21421,998,0,0,60781,63259,2664,108510,738250,38221,8137,10548,42413,8801,11730,1178940,42333,60436,17894,45635,2148,1,6,126557,135562,5743,152603,1039257,53879,11721,15344,59872,12669,17040,1204405,76754,105528,31784,80823,3798,11,60,223463,238715,10129,53890,368126,18014,3906,5191,19992,4219,5762,1130072,20824,28534,8452,21693,1023,0,0,59796,64202,2711,109645,744682,38803,8411,10894,43069,9086,12100,1172067,48475,69098,20248,51848,2420,2,9,141078,154270,6373,148623,1010375,53879,12080,15728,59914,13034,17452,1204373,84625,117191,34745,89085,4142,16,94,244726,263500,10933,61567,425,NA,135402,100,0,0,50,0,90,90,0,0,0,75,0,100,0,0,50,0,90,90,0,0,0,75,0
7/14/20,52258,355583,19031,4158,5202,21187,4500,5785,1145895,21058,28338,8416,21516,1007,0,0,61286,63708,2699,104827,711367,41705,8870,11376,46280,9595,12650,1186446,42985,60962,18048,45846,2168,1,6,127649,136556,5816,148596,1008191,58685,12758,16515,65209,13792,18331,1212307,77871,106273,32007,81132,3826,11,60,224743,240137,10234,52419,356717,19788,4248,5597,21963,4593,6213,1137014,21135,28779,8525,21799,1032,0,0,60275,64676,2746,105723,716346,42321,9182,11738,46964,9918,13038,1179502,49192,69629,20407,52066,2440,2,9,142020,155283,6447,143844,975567,58311,13086,16807,64843,14120,18650,1212274,85831,117932,34974,89402,4170,16,94,245552,264934,11037,65602,954,NA,136356,100,95,0,50,0,90,90,0,0,0,75,0,100,95,0,50,0,90,90,0,0,0,75,0
7/15/20,51454,348935,20490,4494,5590,22817,4863,6217,1152892,21377,28598,8493,21619,1017,0,0,61845,64199,2736,102922,696149,44569,9542,12143,49464,10318,13499,1193939,43646,61532,18215,46074,2189,1,6,128842,137632,5892,146105,988152,62803,13662,17586,69783,14769,19518,1220205,78998,107084,32247,81463,3857,11,60,226263,241677,10344,51729,350880,21312,4597,5980,23655,4969,6632,1143948,21451,29048,8605,21914,1043,0,0,60809,65192,2782,103672,701062,45297,9859,12515,50263,10647,13901,1186923,49917,70208,20581,52301,2461,2,9,143050,156382,6524,141441,955869,62007,13988,17742,68951,15089,19690,1220168,87044,118733,35221,89737,4201,16,94,246417,266476,11147,68342,971,NA,137327,100,95,0,50,0,90,90,0,0,0,75,0,100,95,0,50,0,90,90,0,0,0,75,0
7/16/20,49025,331658,21670,4788,5938,24135,5179,6604,1159880,21701,28877,8577,21730,1028,0,0,62452,64728,2773,97325,657560,46915,10126,12799,52053,10942,14231,1201420,44316,62143,18395,46316,2212,1,6,130135,138782,5969,139084,938486,66093,14499,18513,73438,15665,20551,1228098,80135,107952,32505,81815,3889,11,60,227604,243324,10455,49223,333109,22548,4904,6251,25028,5298,6929,1150871,21772,29338,8691,22033,1053,0,0,61392,65743,2819,98369,663587,47683,10440,13184,52911,11270,14644,1194334,50653,70830,20766,52550,2484,2,9,144160,157557,6602,134319,905512,64850,14801,18643,72115,15954,20693,1228057,88264,119585,35486,90093,4233,16,94,247334,268116,11257,75687,958,NA,138285,100,95,0,50,100,90,90,0,0,0,75,0,100,95,0,50,100,90,90,0,0,0,75,0
7/17/20,47189,318566,22537,5030,6238,25106,5439,6938,1166857,22030,29173,8667,21847,1039,0,0,63100,65288,2810,93443,629170,48568,10611,13367,53889,11456,14863,1208890,44995,62785,18587,46571,2236,1,6,131490,139994,6046,133472,897521,68460,15203,19304,76071,16412,21434,1235988,81283,108865,32780,82185,3924,11,60,229019,245059,10568,47297,319435,23470,5161,6430,26052,5571,7139,1157786,22100,29645,8783,22155,1065,0,0,62029,66322,2857,94177,633955,49502,10912,13765,54926,11774,15287,1201734,51398,71487,20962,52812,2509,2,10,145329,158800,6681,128668,865532,66806,15478,19423,74293,16667,21554,1235940,89492,120476,35766,90467,4268,16,94,248294,269840,11368,70923,901,NA,139186,100,95,0,50,100,90,90,0,0,0,75,0,100,95,0,50,100,90,90,0,0,0,75,0
7/18/20,45739,308224,23179,5232,6498,25825,5653,7228,1173824,22364,29481,8761,21971,1051,0,0,63783,65876,2848,90066,605263,49797,11008,13851,55250,11875,15400,1216348,45684,63455,18788,46837,2261,1,6,132871,141261,6124,128501,862400,70124,15777,19985,77923,17016,22192,1243873,82442,109815,33068,82572,3959,11,60,230501,246869,10681,45747,308441,24156,5378,6660,26813,5800,7397,1164691,22433,29966,8879,22281,1077,0,0,62707,66928,2895,90715,609530,50831,11321,14262,56398,12206,15835,1209123,52155,72174,21169,53087,2535,2,10,146556,160100,6760,123993,832499,68168,16024,20027,75809,17238,22224,1243818,90728,121398,36061,90857,4303,16,94,249289,271629,11480,62451,775,NA,139961,100,95,0,50,100,90,90,0,0,0,75,0,100,95,0,50,100,90,90,0,0,0,75,0
7/19/20,44540,299687,23644,5402,6724,26347,5832,7479,1180781,22703,29801,8859,22100,1064,0,0,64496,66486,2886,87019,583006,50638,11330,14265,56184,12212,15857,1223796,46383,64146,18997,47115,2287,1,6,134300,142572,6202,124163,831860,71234,16242,20545,79162,17502,22817,1251755,83612,110792,33368,82973,3996,11,61,232028,248739,10795,44441,299204,24652,5560,6884,27363,5991,7646,1171585,22773,30298,8981,22414,1089,0,0,63434,67557,2933,87525,585340,51590,11662,14661,57257,12563,16277,1216502,52922,72882,21384,53372,2561,2,10,147833,161445,6839,119967,804137,69052,16446,20522,76792,17677,22772,1251691,91972,122344,36366,91260,4339,17,94,250310,273471,11592,62275,412,NA,140373,100,95,0,50,100,90,90,0,100,0,75,0,100,95,0,50,100,90,90,0,100,0,75,0
7/20/20,43419,291378,23967,5546,6920,26711,5982,7697,1187729,23048,30129,8961,22234,1076,0,0,65233,67117,2924,84155,562994,51154,11563,14614,56760,12455,16244,1231233,47092,64853,19212,47401,2313,1,6,135772,143919,6280,120255,804466,71900,16620,21010,79911,17893,23336,1259633,84793,111791,33679,83387,4034,11,61,233590,250658,10909,43296,291137,24998,5713,7076,27746,6151,7859,1178470,23119,30639,9086,22551,1102,0,0,64246,68206,2971,84417,563734,52020,11949,15005,57748,12859,16661,1223872,53700,73604,21608,53667,2588,2,10,149228,162827,6917,116377,778949,69595,16773,20915,77391,18012,23208,1259559,93223,123307,36680,91674,4376,17,94,251352,275356,11703,59888,531,NA,140904,100,95,0,50,100,90,90,0,100,0,75,0,100,95,0,50,100,90,90,0,100,0,75,0
7/21/20,42207,282929,24175,5665,7089,26949,6106,7886,1194668,23397,30463,9067,22373,1089,0,0,65992,67763,2962,81548,545524,51398,11760,14893,57034,12657,16550,1238659,47812,65572,19433,47696,2340,1,6,137172,145293,6357,116641,779267,72205,16921,21389,80259,18201,23760,1267506,85985,112806,33997,83812,4073,11,61,235135,252617,11022,42258,283858,25218,5840,7239,27990,6282,8041,1185345,23471,30987,9194,22692,1115,0,0,65085,68872,3009,81561,543963,52104,12174,15280,57853,13089,16971,1231231,54489,74335,21839,53971,2616,2,10,150711,164236,6995,113082,755942,69834,17022,21225,77650,18264,23553,1267423,94482,124283,37002,92097,4414,17,94,252409,277274,11813,65277,1127,NA,142031,100,95,0,50,100,90,90,0,100,0,75,0,100,95,0,50,100,90,90,0,100,0,75,0
7/22/20,41083,275130,24291,5764,7234,27082,6208,8047,1201598,23751,30803,9175,22516,1103,0,0,66763,68424,3000,79320,529568,51447,11916,15131,57084,12813,16811,1246077,48543,66299,19660,47998,2367,1,6,138502,146691,6434,113368,758287,72211,17154,21692,80271,18436,24101,1275376,87187,113832,34323,84247,4112,11,61,236685,254607,11134,41292,277116,25335,5945,7378,28120,6388,8194,1192210,23828,31341,9306,22838,1128,0,0,65946,69552,3047,78862,524376,51969,12344,15511,57711,13258,17229,1238579,55288,75071,22075,54283,2644,2,10,152228,165667,7073,109991,734464,69883,17203,21461,77700,18446,23817,1275284,95748,125268,37331,92529,4452,17,94,253475,279219,11922,69739,1136,NA,143167,100,95,0,50,100,90,90,0,100,0,75,0,100,95,0,50,100,90,90,0,100,0,75,0
7/23/20,40022,267800,24338,5844,7356,27137,6289,8184,1208520,24109,31147,9286,22663,1116,0,0,67544,69096,3037,77046,513550,51260,12028,15295,56883,12923,16996,1253486,49285,67030,19890,48305,2395,1,6,139793,148103,6510,110697,739705,71967,17326,21931,80002,18604,24369,1283243,88399,114864,34655,84689,4151,11,61,238245,256620,11246,40375,270752,25366,6028,7493,28154,6472,8322,1199067,24192,31698,9420,22987,1142,0,0,66826,70242,3085,76041,505470,51714,12439,15664,57421,13347,17405,1245918,56099,75810,22315,54601,2672,2,10,153768,167111,7149,107043,714083,69804,17323,21630,77596,18563,24007,1283140,97023,126262,37664,92967,4491,17,94,254547,281186,12030,70006,1116,NA,144283,100,95,0,50,100,90,90,0,100,0,75,0,100,95,0,50,100,90,90,0,100,0,75,0
